,id,name,iata,icao,city,lat,lon,country,alt,size,timezone,countryId
549,541,Bouake Airport,BYK,DIBK,Bouake,7.7388,-5.07366,Cote D'ivoire (Ivory Coast),1230,161,"{'name': 'Africa/Abidjan', 'offset': None, 'offsetHours': '0:00', 'abbr': 'GMT', 'abbrName': 'Greenwich Mean Time', 'isDst': False}",54
550,7961,Bouarfa Airport,UAR,GMFB,Bouarfa,32.514172,-1.98167,Morocco,3633,1,"{'name': 'Africa/Casablanca', 'offset': 3600, 'offsetHours': '1:00', 'abbr': '+01', 'abbrName': None, 'isDst': True}",149
551,7923,Boulder City Municipal Airport,BLD,KBVU,Boulder City,35.946777,-114.856377,United States,2203,6844,"{'name': 'America/Los_Angeles', 'offset': -25200, 'offsetHours': '-7:00', 'abbr': 'PDT', 'abbrName': 'Pacific Daylight Time', 'isDst': True}",236
552,5645,Boulder Municipal Airport,WBU,KBDU,Boulder,40.039398,-105.225998,United States,5288,30586,"{'name': 'America/Denver', 'offset': -21600, 'offsetHours': '-6:00', 'abbr': 'MDT', 'abbrName': 'Mountain Daylight Time', 'isDst': True}",236
553,4838,Boulia Airport,BQL,YBOU,Boulia,-22.9,139.899994,Australia,542,350,"{'name': 'Australia/Brisbane', 'offset': 36000, 'offsetHours': '10:00', 'abbr': 'AEST', 'abbrName': 'Australian Eastern Standard Time', 'isDst': False}",14
554,5666,Bountiful Skypark Airport,BTF,KBTF,Bountiful,40.8694,-111.927002,United States,4234,55011,"{'name': 'America/Denver', 'offset': -21600, 'offsetHours': '-6:00', 'abbr': 'MDT', 'abbrName': 'Mountain Daylight Time', 'isDst': True}",236
555,3887,Bourg-en-Bresse Ceyzeriat Airport,QYY,LFHS,Bourg-en-Bresse,46.202198,5.291796,France,857,667,"{'name': 'Europe/Paris', 'offset': 7200, 'offsetHours': '2:00', 'abbr': 'CEST', 'abbrName': 'Central European Summer Time', 'isDst': True}",76
556,452,Bourges Airport,BOU,LFLD,Bourges,47.064449,2.378953,France,529,2257,"{'name': 'Europe/Paris', 'offset': 7200, 'offsetHours': '2:00', 'abbr': 'CEST', 'abbrName': 'Central European Summer Time', 'isDst': True}",76
557,6959,Bourke Airport,BRK,YBKE,Bourke,-30.0392,145.951996,Australia,352,2189,"{'name': 'Australia/Sydney', 'offset': 36000, 'offsetHours': '10:00', 'abbr': 'AEST', 'abbrName': 'Australian Eastern Standard Time', 'isDst': False}",14
558,443,Bournemouth Airport,BOH,EGHH,Bournemouth,50.779999,-1.8425,United Kingdom,38,81837,"{'name': 'Europe/London', 'offset': 3600, 'offsetHours': '1:00', 'abbr': 'BST', 'abbrName': 'British Summer Time', 'isDst': True}",235
